user_ID,City,Emergency,Department
,"Fort Worth, TX",0,Housing 
HNScharlotte,"Charlotte, NC",0,Housing 
Planning4LA,"Los Angeles, CA",1,Planning 
SeattleOPCD,"Seattle, WA",1,Planning 
DenverCPD,"Denver, CO",1,Planning 
NYCPlanning,"New York, NY",1,Planning 
ChicagoDPD,"Chicago, IL",1,Planning 
SanDiegoPlan,"San Diego, CA",1,Planning 
buildingsanjose,"San Jose, CA",1,Planning 
ImagineAustin,"Austin, TX",1,Planning 
sfplanning,"San Francisco, CA",1,Planning 
BostonPlans,"Boston, MA",1,Planning 
PHLPlanDevelop,"Philadelphia, PA",0,Planning 
HoustonPlanning,"Houston, TX",0,Planning 
PHXPlanandDev,"Phoenix, AZ",0,Planning 
SATomorrow2040,"San Antonio, TX",0,Planning 
DallasPlanUD,"Dallas, TX",0,Planning 
,"Jacksonville, FL",0,Planning 
,"Fort Worth, TX",0,Planning 
,"Charlotte, NC",0,Planning 
,"Columbus, OH",0,Planning 
,"Indianapolis, IN",0,Planning 
,"Los Angeles, CA",1,Emergency Management
,"Seattle, WA",1,Emergency Management
,"Denver, CO",1,Emergency Management
nycemergencymgt,"New York, NY",1,Emergency Management
ChicagoOEMC,"Chicago, IL",1,Emergency Management
ReadySanDiego,"San Diego, CA",1,Emergency Management
,"San Jose, CA",1,Emergency Management
AustinHSEM,"Austin, TX",1,Emergency Management
SF_emergency,"San Francisco, CA",1,Emergency Management
AlertBoston,"Boston, MA",1,Emergency Management
PhilaOEM,"Philadelphia, PA",0,Emergency Management
HoustonOEM,"Houston, TX",0,Emergency Management
ResilientPHX,"Phoenix, AZ",0,Emergency Management
SanAntonioOEM,"San Antonio, TX",0,Emergency Management
DallasOEM,"Dallas, TX",0,Emergency Management
JaxReady,"Jacksonville, FL",0,Emergency Management
FWOEM,"Fort Worth, TX",0,Emergency Management
CharMeckEM,"Charlotte, NC",0,Emergency Management
,"Columbus, OH",0,Emergency Management
,"Indianapolis, IN",0,Emergency Management
,"Los Angeles, CA",1,Public Works
,"Seattle, WA",1,Public Works
,"Denver, CO",1,Public Works
,"New York, NY",1,Public Works
,"Chicago, IL",1,Public Works
sdcountydpw,"San Diego, CA",1,Public Works
,"San Jose, CA",1,Public Works
,"Austin, TX",1,Public Works
sfpublicworks,"San Francisco, CA",1,Public Works
,"Boston, MA",1,Public Works
,"Philadelphia, PA",0,Public Works
HouPublicWorks,"Houston, TX",0,Public Works
TalkingTrashPHX,"Phoenix, AZ",0,Public Works
,"San Antonio, TX",0,Public Works
,"Dallas, TX",0,Public Works
,"Jacksonville, FL",0,Public Works
,"Fort Worth, TX",0,Public Works
,"Charlotte, NC",0,Public Works
ColumbusDP,"Columbus, OH",0,Public Works
IndyDPW,"Indianapolis, IN",0,Public Works
,"Los Angeles, CA",1,Public Works
,"Seattle, WA",1,Public Works
,"Denver, CO",1,Public Works
,"New York, NY",1,Public Works
,"Chicago, IL",1,Public Works
sdcountydpw,"San Diego, CA",1,Public Works
,"San Jose, CA",1,Public Works
,"Austin, TX",1,Public Works
sfpublicworks,"San Francisco, CA",1,Public Works
,"Boston, MA",1,Public Works
,"Philadelphia, PA",0,Public Works
HouPublicWorks,"Houston, TX",0,Public Works
TalkingTrashPHX,"Phoenix, AZ",0,Public Works
,"San Antonio, TX",0,Public Works
,"Dallas, TX",0,Public Works
,"Jacksonville, FL",0,Public Works
,"Fort Worth, TX",0,Public Works
,"Charlotte, NC",0,Public Works
ColumbusDP,"Columbus, OH",0,Public Works
IndyDPW,"Indianapolis, IN",0,Public Works
,"Los Angeles, CA",1,Public Health
,"Seattle, WA",1,Public Health
DDPHE,"Denver, CO",1,Public Health
,"New York, NY",1,Public Health
,"Chicago, IL",1,Public Health
,"San Diego, CA",1,Public Health
,"San Jose, CA",1,Public Health
AusPublicHealth,"Austin, TX",1,Public Health
,"San Francisco, CA",1,Public Health
HealthyBoston,"Boston, MA",1,Public Health
,"Philadelphia, PA",0,Public Health
,"Houston, TX",0,Public Health
,"Phoenix, AZ",0,Public Health
,"San Antonio, TX",0,Public Health
,"Dallas, TX",0,Public Health
,"Jacksonville, FL",0,Public Health
,"Fort Worth, TX",0,Public Health
,"Charlotte, NC",0,Public Health
,"Columbus, OH",0,Public Health
,"Indianapolis, IN",0,Public Health
metrolosangeles,"Los Angeles, CA",1,Transit Agency 
kcmetrobus,"Seattle, WA",1,Transit Agency 
,"Denver, CO",1,Transit Agency 
MTA,"New York, NY",1,Transit Agency 
cta,"Chicago, IL",1,Transit Agency 
sdmts,"San Diego, CA",1,Transit Agency 
VTA,"San Jose, CA",1,Transit Agency 
CapMetroATX,"Austin, TX",1,Transit Agency 
,"San Francisco, CA",1,Transit Agency 
MBTA,"Boston, MA",1,Transit Agency 
SEPTA,"Philadelphia, PA",0,Transit Agency 
METROHouston,"Houston, TX",0,Transit Agency 
PhoenixMetroBus,"Phoenix, AZ",0,Transit Agency 
,"San Antonio, TX",0,Transit Agency 
dartmedia,"Dallas, TX",0,Transit Agency 
JTAFLA,"Jacksonville, FL",0,Transit Agency 
TrinityMetro,"Fort Worth, TX",0,Transit Agency 
CATSRideTransit,"Charlotte, NC",0,Transit Agency 
COTABus,"Columbus, OH",0,Transit Agency 
IndyGoBus,"Indianapolis, IN",0,Transit Agency 
PortofLA,"Los Angeles, CA",1,Other
,"Seattle, WA",1,Other
DenverWater,"Denver, CO",1,Other
,"New York, NY",1,Other
,"Chicago, IL",1,Other
portofsandiego,"San Diego, CA",1,Other
,"San Jose, CA",1,Other
,"Austin, TX",1,Other
SFPort,"San Francisco, CA",1,Other
,"Boston, MA",1,Other
,"Philadelphia, PA",0,Other
,"Houston, TX",0,Other
,"Phoenix, AZ",0,Other
,"San Antonio, TX",0,Other
dallaszerowaste,"Dallas, TX",0,Other
,"Jacksonville, FL",0,Other
TarrantCountyTX,"Fort Worth, TX",0,Other
CLTWater,"Charlotte, NC",0,Other
,"Columbus, OH",0,Other
IndyDMD,"Indianapolis, IN",0,Other
